HomeName,Price,Space,Superhost,Rank
"Vintage Airstream in East Austin, T",Price$60,Entire place · 1 bed,YES,1
The Hideaway - Travis Heights SOCO,Price$179,Entire house · 2 beds,YES,2
Tiny House: Heart of the East Side,Price$89,Entire guesthouse · 1 bed,YES,3
Modern downtown loft on 6th St,Price$109,Entire apartment · 2 beds,YES,4
Garden Cottage in East Austin,Price$65,Entire place · 1 bed,YES,5
Backyard Cottage in Central Austin,Price$80,Entire apartment · 1 bed,YES,6
Modern Loft in the Middle of Austin,Price$89,Entire condominium · 2 beds,NO,7
"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",Price$99,Entire guesthouse · 3 beds,YES,8
BRAND NEW HOUSE in Ultra-hip East Downtown Austin,"Price$1,299",Entire house · 10 beds,YES,9
Open &Chic Downtown AustinPoolHouse,Price$699,Entire house · 8 beds,YES,10
4bd/2ba Central Austin Retreat,Price$200,Entire house · 6 beds,YES,11
Atomic Ranch in Nucleus of S Austin,Price$95,Entire house · 5 beds,NO,12
SOCO South Congress ATX Your Modern Little House!!,Price$135,Entire house · 3 beds,YES,13
Historic Manor in Downtown Austin,Price$600,Entire house · 8 beds,NO,14
Travis Heights Bungalow 2/1,Price$125,Entire house · 4 beds,YES,15
private indulgence near downtown,Price$169,Entire house · 7 beds,YES,16
Crash pad and it ain't bad! (The Blue Room),Price$25,Private room · 1 bed,YES,17
Swanky Townhome on 6th Street!!,Price$500,Entire house · 9 beds,YES,18
SOCO Artist's Funky Guesthouse,Price$125,Entire house · 4 beds,YES,19
Downtown Hip Area-Sleep (URL HIDDEN),Price$70,Entire apartment · 4 beds,NO,20
Luxury garage apt close to downtown,Price$125,Entire apartment · 2 beds,YES,21
1bed+1 bath+Relaxing Dragonfly Cove,Price$36,Private room · 1 bed,YES,22
Amazing room 12 minutes from downtown,Price$15,Private room · 1 single bed,YES,23
Hip Retro Groovy LOFT South Austin Style,Price$128,Entire loft · 3 beds,YES,24
Downtown Austin - Tiny Tasteful 1,Price$99,Entire house · 2 beds,YES,25
Large House Downtown Austin,Price$125,Entire house · 8 beds,NO,26
Global Getaway in Hip East Austin,Price$275,Entire house · 5 beds,YES,27
Walk Downtown! Mod Home w/ 2nd Unit Upgrade Option,Price$88,Entire house · 7 beds,YES,28
Modern Spartan Mansion Guesthouse,Price$95,Entire place · 1 bed,YES,29
"Modern, nontoxic downtown apartment",Price$75,Entire apartment · 2 beds,YES,30
Private space in a welcoming home,Price$35,Private room · 1 bed,NO,31
SOCO Apt right in the middle of Weird,Price$150,Entire apartment · 11 beds,YES,32
South Congress Studio Apartment,Price$67,Entire apartment · 1 bed,YES,33
Modern 3BR Downtown Condo W/Balcony,Price$420,Entire apartment · 6 beds,NO,34
Your home away from home!,Price$55,Entire apartment · 1 bed,NO,35
Modern Guesthouse Near Zilker,Price$160,Entire guesthouse · 2 beds,YES,36
Tranquil East Austin Guesthouse: Autumn is Here!,Price$90,Entire house · 2 beds,YES,37
"Lofted, modern cottage east cent 02",Price$125,Entire house · 0 beds,YES,38
Bali Meets Austin in Artist's Home,Price$950,Entire house · 0 beds,YES,39
Bed + shared bath near Lady Bird Lake,Price$30,Private room · 1 queen bed,NO,40
3 Story House Over Lake Austin,Price$475,Entire house · 6 beds,YES,41
Private comfy BEST LOCATION groups family retreat,Price$70,Entire apartment · 9 beds,YES,42
Couple's Getaway - Fantastic Location - 2BD,Price$42,Entire apartment · 3 beds,NO,43
6th Street Skyline Townhouse!,Price$500,Entire townhouse · 9 beds,YES,44
